result,movesCount,moves,durationSeconds,timestamp
win,145,"['up', 'up', 'right', 'up', 'up', 'down', 'left', 'up', 'up', 'right', 'up', 'left', 'up', 'right', 'up', 'up', 'up', 'left', 'left', 'down', 'right', 'up', 'up', 'up', 'left', 'up', 'left', 'up', 'right', 'down', 'left', 'up', 'down', 'right', 'up', 'right', 'up', 'down', 'left', 'up', 'right', 'left', 'up', 'left', 'right', 'up', 'left', 'left', 'up', 'up', 'right', 'down', 'right', 'left', 'down', 'up', 'right', 'right', 'left', 'down', 'up', 'right', 'down', 'left', 'up', 'left', 'up', 'right', 'up', 'left', 'right', 'up', 'right', 'up', 'up', 'left', 'up', 'up', 'left', 'up', 'left', 'right', 'up', 'down', 'left', 'down', 'up', 'right', 'up', 'up', 'left', 'up', 'down', 'right', 'left', 'up', 'right', 'left', 'up', 'right', 'up', 'left', 'down', 'right', 'up', 'right', 'up', 'right', 'left', 'up', 'right', 'up', 'left', 'up', 'right', 'left', 'up', 'right', 'up', 'left', 'up', 'right', 'left', 'right', 'left', 'up', 'down', 'right', 'up', 'up', 'right', 'up', 'left', 'up', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'right', 'down', 'right']",146.216,2025-05-16T13:19:11.689Z
lose,101,"['up', 'up', 'up', 'right', 'right', 'right', 'left', 'up', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'up', 'up', 'left', 'up', 'left', 'left', 'down', 'right', 'up', 'up', 'up', 'left', 'up', 'up', 'up', 'right', 'up', 'right', 'up', 'up', 'up', 'up', 'left', 'up', 'up', 'up', 'up', 'right', 'right', 'right', 'up', 'up', 'up', 'up', 'up', 'left', 'up', 'up', 'up', 'right', 'up', 'up', 'up', 'left', 'up', 'up', 'up', 'up', 'right', 'right', 'up', 'up', 'up', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'right', 'right', 'right', 'up', 'up', 'up', 'left', 'left', 'up', 'up', 'up', 'right', 'right', 'up']",30.22,2025-05-16T13:21:45.421Z
lose,73,"['up', 'up', 'right', 'up', 'up', 'up', 'left', 'up', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'right', 'right', 'up', 'left', 'down', 'up', 'left', 'up', 'up', 'left', 'up', 'left', 'right', 'up', 'right', 'right', 'up', 'up', 'up', 'up', 'up', 'left', 'left', 'left', 'up', 'down', 'down', 'right', 'right', 'right', 'up', 'up', 'up', 'up', 'left', 'left', 'up', 'up', 'up', 'up', 'right', 'left', 'left', 'up', 'up', 'up', 'right', 'up', 'up', 'up', 'down', 'down', 'left']",15.023,2025-05-16T13:22:20.137Z
win,188,"['down', 'right', 'up', 'up', 'up', 'left', 'up', 'up', 'up', 'up', 'right', 'right', 'up', 'up', 'down', 'down', 'down', 'left', 'up', 'up', 'up', 'up', 'right', 'up', 'up', 'up', 'left', 'down', 'left', 'up', 'right', 'up', 'left', 'up', 'up', 'right', 'up', 'up', 'left', 'down', 'left', 'down', 'right', 'right', 'up', 'left', 'left', 'down', 'left', 'right', 'up', 'up', 'down', 'right', 'up', 'left', 'up', 'right', 'left', 'up', 'up', 'down', 'right', 'down', 'left', 'right', 'up', 'right', 'left', 'up', 'down', 'right', 'up', 'right', 'down', 'right', 'up', 'left', 'up', 'right', 'down', 'left', 'left', 'up', 'left', 'up', 'down', 'left', 'up', 'right', 'left', 'up', 'up', 'left', 'down', 'up', 'down', 'right', 'down', 'left', 'up', 'left', 'left', 'up', 'left', 'right', 'left', 'up', 'right', 'up', 'left', 'left', 'down', 'right', 'up', 'up', 'right', 'left', 'up', 'down', 'right', 'left', 'down', 'right', 'down', 'up', 'left', 'up', 'right', 'up', 'left', 'up', 'up', 'down', 'right', 'up', 'up', 'up', 'down', 'right', 'right', 'right', 'left', 'right', 'up', 'left', 'up', 'up', 'right', 'up', 'left', 'up', 'left', 'down', 'right', 'up', 'left', 'up', 'left', 'left', 'up', 'down', 'right', 'right', 'left', 'down', 'right', 'down', 'left', 'up', 'up', 'up', 'down', 'left', 'left', 'up', 'down', 'right', 'left', 'up', 'up', 'left', 'up', 'right', 'left', 'up', 'up', 'right']",154.036,2025-05-16T13:22:38.268Z
lose,87,"['up', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'up', 'up', 'right', 'right', 'right', 'right', 'up', 'up', 'up', 'down', 'left', 'down', 'up', 'up', 'up', 'down', 'down', 'up', 'left', 'up', 'up', 'right', 'down', 'left', 'down', 'up', 'up', 'up', 'right', 'right', 'right', 'right', 'up', 'up', 'up', 'left', 'up', 'left', 'down', 'down', 'down', 'down', 'right', 'right', 'right', 'up', 'up', 'up', 'up', 'left', 'up', 'down', 'right', 'right', 'right', 'down', 'up', 'up', 'up', 'left', 'down', 'left', 'up', 'left', 'up', 'left', 'up', 'right', 'right', 'right', 'right', 'right', 'up', 'up', 'up']",14.553,2025-05-16T13:25:25.975Z
lose,147,"['up', 'right', 'up', 'up', 'left', 'down', 'up', 'left', 'right', 'left', 'up', 'down', 'up', 'left', 'down', 'left', 'left', 'right', 'up', 'left', 'up', 'right', 'up', 'left', 'up', 'down', 'right', 'up', 'left', 'down', 'up', 'left', 'left', 'up', 'right', 'up', 'left', 'up', 'up', 'left', 'down', 'down', 'up', 'down', 'left', 'up', 'right', 'down', 'down', 'right', 'up', 'left', 'up', 'right', 'up', 'up', 'down', 'right', 'up', 'left', 'up', 'right', 'down', 'left', 'down', 'up', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'left', 'up', 'right', 'up', 'left', 'up', 'right', 'right', 'left', 'up', 'right', 'down', 'right', 'up', 'right', 'up', 'down', 'right', 'right', 'up', 'left', 'up', 'up', 'right', 'up', 'down', 'right', 'up', 'down', 'right', 'up', 'right', 'up', 'left', 'down', 'right', 'down', 'up', 'left', 'down', 'up', 'right', 'down', 'left', 'up', 'right', 'up', 'right', 'left', 'down', 'right', 'up', 'left', 'left', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'down', 'up', 'right', 'left', 'left']",100.145,2025-05-16T13:25:43.575Z
lose,144,"['up', 'left', 'up', 'up', 'left', 'left', 'up', 'up', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'left', 'left', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'left', 'left', 'down', 'up', 'left', 'down', 'right', 'up', 'left', 'up', 'right', 'up', 'left', 'down', 'left', 'up', 'right', 'up', 'up', 'right', 'left', 'up', 'up', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'right', 'down', 'left', 'up', 'down', 'left', 'right', 'down', 'up', 'left', 'up', 'right', 'up', 'left', 'left', 'right', 'up', 'left', 'right', 'up', 'down', 'left', 'up', 'up', 'right', 'down', 'left', 'down', 'right', 'left', 'down', 'up', 'right', 'up', 'left', 'up', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'right', 'up', 'left', 'right', 'down', 'left', 'up', 'right', 'up', 'up', 'left', 'up', 'down', 'left', 'right', 'up', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'up', 'left', 'up', 'down', 'right', 'up', 'right', 'left', 'up', 'up', 'down', 'right', 'up', 'left', 'up', 'right', 'down', 'right', 'up', 'left', 'up', 'right', 'up']",83.641,2025-05-16T13:27:28.783Z
win,150,"['up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'up', 'left', 'down', 'right', 'up', 'up', 'left', 'down', 'left', 'up', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'up', 'right', 'up', 'left', 'up', 'up', 'right', 'up', 'down', 'left', 'up', 'right', 'left', 'up', 'down', 'left', 'up', 'left', 'down', 'left', 'up', 'up', 'down', 'left', 'up', 'up', 'left', 'up', 'right', 'up', 'up', 'down', 'left', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'up', 'right', 'left', 'up', 'right', 'left', 'up', 'right', 'up', 'left', 'down', 'right', 'up', 'right', 'left', 'up', 'down', 'up', 'left', 'right', 'up', 'left', 'up', 'right', 'up', 'left', 'left', 'up', 'right', 'up', 'right', 'left', 'down', 'left', 'up', 'left', 'left', 'right', 'down', 'up', 'left', 'up', 'left', 'down', 'up', 'down', 'left', 'down', 'up', 'up', 'up', 'up', 'up', 'left', 'up', 'down', 'left', 'left', 'up', 'left', 'up', 'right', 'down', 'right', 'up', 'left', 'up', 'up', 'down', 'left', 'left', 'right', 'left', 'up', 'up']",113.488,2025-05-16T13:31:01.543Z
lose,162,"['up', 'up', 'right', 'up', 'left', 'left', 'up', 'right', 'up', 'left', 'up', 'up', 'right', 'up', 'left', 'down', 'left', 'up', 'up', 'right', 'up', 'left', 'up', 'right', 'up', 'up', 'left', 'left', 'down', 'down', 'right', 'up', 'up', 'right', 'left', 'up', 'down', 'left', 'right', 'up', 'up', 'left', 'left', 'down', 'right', 'up', 'down', 'left', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'left', 'right', 'up', 'left', 'up', 'right', 'down', 'left', 'down', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'right', 'left', 'up', 'left', 'up', 'down', 'right', 'left', 'up', 'right', 'up', 'left', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'left', 'right', 'down', 'left', 'up', 'up', 'down', 'right', 'up', 'left', 'up', 'left', 'up', 'right', 'up', 'left', 'up', 'right', 'up', 'left', 'up', 'down', 'left', 'up', 'right', 'up', 'left', 'up', 'up', 'up', 'down', 'left', 'up', 'right', 'left', 'down', 'up', 'left', 'right', 'down', 'left', 'down', 'up', 'left', 'down', 'right', 'up', 'up', 'down', 'right', 'left', 'up', 'left', 'down', 'down', 'left', 'right', 'right', 'left', 'up', 'left', 'right', 'left', 'right']",103.313,2025-05-16T13:32:57.951Z
lose,147,"['up', 'left', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'up', 'right', 'down', 'left', 'up', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'up', 'right', 'up', 'down', 'left', 'up', 'right', 'up', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'up', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'up', 'right', 'up', 'left', 'up', 'down', 'right', 'up', 'left', 'down', 'right', 'left', 'up', 'right', 'left', 'up', 'left', 'left', 'down', 'up', 'right', 'up', 'right', 'down', 'left', 'up', 'left', 'up', 'down', 'left', 'up', 'left', 'right', 'up', 'left', 'right', 'up', 'left', 'right', 'left', 'up', 'right', 'up', 'up', 'left', 'up', 'right', 'up', 'left', 'right', 'down', 'left', 'up', 'left', 'left', 'right', 'up', 'left', 'up', 'left', 'down', 'left', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'right', 'down', 'left', 'up', 'right', 'left', 'down', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'right', 'down', 'left', 'up', 'right', 'down', 'down']",114.668,2025-05-16T13:34:48.915Z
